import time: self [us] | cumulative | imported package
import time:        77 |         77 |   _io
import time:        14 |         14 |   marshal
import time:       144 |        144 |   posix
import time:       171 |        404 | _frozen_importlib_external
import time:       727 |        727 |   time
import time:        67 |        793 | zipimport
import time:        24 |         24 |     _codecs
import time:       172 |        196 |   codecs
import time:       525 |        525 |   encodings.aliases
import time:       553 |       1272 | encodings
import time:       254 |        254 | encodings.utf_8
import time:        38 |         38 | _signal
import time:        13 |         13 |     _abc
import time:        63 |         76 |   abc
import time:        81 |        157 | io
import time:        23 |         23 |       _stat
import time:        33 |         55 |     stat
import time:       402 |        402 |     _collections_abc
import time:        15 |         15 |       genericpath
import time:        28 |         43 |     posixpath
import time:       152 |        650 |   os
import time:        29 |         29 |   _sitebuiltins
import time:       544 |        544 |   _distutils_hack
import time:       109 |        109 |   sitecustomize
import time:       836 |       2166 | site
import time:       438 |        438 |   app
import time:       292 |        292 |           types
import time:        39 |         39 |             _operator
import time:       328 |        366 |           operator
import time:        57 |         57 |               itertools
import time:       276 |        276 |               keyword
import time:       249 |        249 |               reprlib
import time:        30 |         30 |               _collections
import time:       829 |       1439 |             collections
import time:        25 |         25 |             _functools
import time:       632 |       2096 |           functools
import time:      1196 |       3948 |         enum
import time:       583 |        583 |           _sre
import time:       271 |        271 |             re._constants
import time:       741 |       1012 |           re._parser
import time:       215 |        215 |           re._casefix
import time:       576 |       2385 |         re._compiler
import time:       222 |        222 |         copyreg
import time:       701 |       7255 |       re
import time:       519 |       7774 |     fnmatch
import time:        54 |         54 |       _winapi
import time:        45 |         45 |       nt
import time:        43 |         43 |       nt
import time:        41 |         41 |       nt
import time:        39 |         39 |       nt
import time:        38 |         38 |       nt
import time:        64 |        321 |     ntpath
import time:       366 |        366 |     warnings
import time:        32 |         32 |     errno
import time:       191 |        191 |       urllib
import time:       795 |        795 |       ipaddress
import time:       795 |       1780 |     urllib.parse
import time:       842 |      11112 |   pathlib
import time:       230 |        230 |     starlette
import time:       222 |        222 |       __future__
import time:       503 |        503 |         http
import time:       266 |        266 |         collections.abc
import time:       230 |        998 |       starlette.exceptions
import time:       260 |       1478 |     starlette.status
import time:       446 |        446 |         contextlib
import time:       519 |        519 |         _typing
import time:      1501 |       2464 |       typing
import time:       175 |        175 |         annotated_doc.main
import time:       283 |        457 |       annotated_doc
import time:       336 |        336 |             _weakrefset
import time:       979 |       1314 |           weakref
import time:        46 |         46 |               org
import time:        10 |         56 |             org.python
import time:         9 |         64 |           org.python.core
import time:       363 |       1740 |         copy
import time:       308 |        308 |           email
import time:       432 |        432 |           binascii
import time:       258 |        258 |           quopri
import time:       585 |        585 |               math
import time:       320 |        320 |                 _bisect
import time:       255 |        574 |               bisect
import time:       440 |        440 |               _random
import time:       324 |        324 |               _sha512
import time:       514 |       2436 |             random
import time:       582 |        582 |               _socket
import time:       548 |        548 |                 select
import time:       488 |       1036 |               selectors
import time:       432 |        432 |               array
import time:       761 |       2810 |             socket
import time:       471 |        471 |               _datetime
import time:       680 |       1151 |             datetime
import time:        37 |         37 |                   _locale
import time:       655 |        691 |                 locale
import time:       918 |       1609 |               calendar
import time:       314 |       1922 |             email._parseaddr
import time:       456 |        456 |                     _struct
import time:       297 |        753 |                   struct
import time:       271 |       1024 |                 base64
import time:       196 |       1219 |               email.base64mime
import time:        14 |         14 |                   _string
import time:       445 |        458 |                 string
import time:       230 |        687 |               email.quoprimime
import time:       512 |        512 |               email.errors
import time:       214 |        214 |               email.encoders
import time:       272 |       2904 |             email.charset
import time:       411 |      11631 |           email.utils
import time:       504 |        504 |             email.header
import time:       276 |        779 |           email._policybase
import time:       494 |        494 |           email._encoded_words
import time:       201 |        201 |           email.iterators
import time:       504 |      14604 |         email.message
import time:       683 |        683 |             _ast
import time:       747 |       1430 |           ast
import time:       423 |        423 |               _opcode
import time:       350 |        773 |             opcode
import time:       600 |       1372 |           dis
import time:       309 |        309 |             importlib
